Month,Amount lost,Number of reports
Jan,"Amount lost: $228,101","4,499"
Feb,"Amount lost: $207,269","4,385"
Mar,"Amount lost: $227,197","5,342"
Apr,"Amount lost: $200,801","4,462"
May,"Amount lost: $1,470,933","4,365"
Jun,"Amount lost: $213,901","5,444"
Jul,"Amount lost: $346,947","6,324"
Aug,"Amount lost: $383,679","11,059"
Sep,"Amount lost: $197,943","8,660"
Oct,"Amount lost: $224,644","7,954"
Nov,"Amount lost: $172,088","4,417"
Dec,"Amount lost: $450,625","4,388"
