Month,Amount lost,Number of reports
Jan,1653647,8023
Feb,3478461,8236
Mar,2084389,9585
Apr,1704473,7815
May,4999598,7743
Jun,2413637,9812
Jul,2436403,11468
Aug,5249006,18911
Sep,1661815,14685
Oct,3091286,13224
Nov,2499751,7831
Dec,2665334,7156
