Month,Amount lost,Number of reports
Jan,5624077,267
Feb,4617061,302
Mar,1939934,243
Apr,1509702,259
May,3883483,249
Jun,5886472,280
Jul,4853641,310
Aug,4339443,295
Sep,4806111,331
Oct,3670662,302
Nov,5667071,321
Dec,9377771,265
