Month,Amount lost,Number of reports
Jan,49902,231
Mar,299898,184
Mar,224772,194
Apr,63382,128
May,17527,123
Jun,49363,195
Jul,69728,191
Aug,111822,197
Sep,103045,157
Oct,29579,148
Nov,59767,139
Dec,66327,159
