Month,Amount lost,Number of reports
Jan,1051415,1063
Mar,1651942,1201
Mar,1473109,1358
Apr,1070263,1160
May,1630277,1001
Jun,1608617,1247
Jul,1628224,1411
Aug,962405,2010
Sep,905068,1774
Oct,1838516,1556
Nov,1535843,1062
Dec,1056579,852
