Month,Amount lost,Number of reports
Jan,228101,4499
Feb,207269,4385
Mar,227197,5342
Apr,200801,4462
May,1470933,4365
Jun,213901,5444
Jul,346947,6324
Aug,383679,11059
Sep,197943,8660
Oct,224644,7954
Nov,172088,4417
Dec,450625,4388
