Month,Amount lost,Number of reports
Jan,9743069,842
Mar,8621254,848
Mar,11958501,899
Apr,7968246,686
May,16329557,758
Jun,16024730,901
Jul,13426462,754
Aug,12293097,855
Sep,18506301,896
Oct,14386007,869
Nov,22310882,941
Dec,26592403,741
