Month,Amount lost,Number of reports
Jan,319372,1703
Feb,1546080,1854
Mar,290993,1916
Apr,353091,1378
May,1797110,1511
Jun,440969,1990
Jul,345010,2454
Aug,2210274,2958
Sep,439268,2242
Oct,903202,1927
Nov,499477,1436
Dec,1015084,985
