Month,Amount lost,Number of reports
Jan,21834338,19845
Mar,20724810,20175
Mar,20177790,22874
Apr,14203562,18243
May,29775544,19139
Jun,31255326,24039
Jul,27058768,26784
Aug,26240509,40891
Sep,29918252,34122
Oct,25825898,27726
Nov,33685657,18240
Dec,43022542,14524
