Month,Amount lost,Number of reports
Jan,"86,175",203
Feb,"31,837",185
Mar,"96,658",254
Apr,"13,193",206
May,"286,624",209
Jun,"229,229",228
Jul,"107,366",264
Aug,"30,305",502
Sep,"707,088",789
Oct,"609,291",241
Nov,"308,010",224
Dec,"191,724",148
