Month,Amount lost,Number of reports
Jan,110652,1387
Mar,88427,351
Mar,56222,560
Apr,503931,336
May,138191,196
Jun,101615,391
Jul,234850,462
Aug,79477,318
Sep,311308,247
Oct,183117,171
Nov,5285,5
Dec,15960,4
