Month,Amount lost,Number of reports
Jan,511071,2494
Mar,1243289,3219
Mar,1205584,2773
May,283718,1068
May,998005,1834
Jul,2759039,2967
Jul,1868603,3947
Aug,601382,5075
Oct,652186,4053
Oct,455678,2887
Dec,370849,1886
Dec,128147,222
