Month,Amount lost,Number of reports
Jan,53068,122
Feb,2383,186
Mar,11329,272
Apr,0,111
May,3200,113
Jun,510735,146
Jul,4863,244
Aug,2834,911
Sep,13301,520
Oct,516199,570
Nov,38491,167
Dec,15631,261
