Month,Amount lost,Number of reports
Jan,2712143,1182
Mar,986250,1222
Mar,1204821,1811
Apr,1075887,2367
May,1221652,2367
Jun,1397173,2469
Jul,2384824,2154
Aug,1433827,2446
Sep,1093683,1902
Oct,654551,1382
Nov,762350,1276
Dec,2376504,967
