Scam category,Amount lost
Investment scams,177184295
Dating & romance,56175428
False billing,17303665
Remote access scams,16412258
"Threats to life, arrest or other",11077551
Identity theft,10159930
Online shopping scams,8074211
Classified scams,7114830
Phishing,4324128
Hacking,3041484
