Month,Amount lost,Number of reports
Jan,54759,758
Feb,73170,796
Mar,93090,969
Apr,80318,815
May,101278,866
Jun,150150,1131
Jul,116222,1279
Aug,1692648,2884
Sep,119536,2009
Oct,124924,1787
Nov,292343,916
Dec,143046,931
