Month,Amount lost,Number of reports
Jan,111154,1406
Mar,89909,360
Mar,56222,574
Apr,505331,358
May,138491,215
Jun,104678,411
Jul,237849,478
Aug,86677,341
Sep,312009,261
Oct,197177,211
Nov,78016,151
Dec,66702,210
