Month,Amount lost,Number of reports
Jan,686879,1285
Feb,566319,1147
Mar,527216,1568
Apr,420639,1686
May,451184,1811
Jun,562045,1695
Jul,673494,1681
Aug,959780,2318
Sep,1044253,2822
Oct,847829,1873
Nov,652816,1425
Dec,681757,1382
