Month,Amount lost,Number of reports
Jan,38097,2504
Mar,27195,2849
Mar,140622,3064
Apr,55650,2308
May,128995,2365
Jun,54887,3365
Jul,38499,3672
Aug,71544,6944
Sep,66403,5657
Oct,23704,4114
Nov,24923,2350
Dec,20269,1777
