Month,Amount lost,Number of reports
Jan,350798,684
Mar,376965,774
Mar,447835,803
Apr,440525,680
May,555154,718
Jun,723308,758
Jul,754725,846
Aug,682586,960
Sep,816354,987
Oct,714439,925
Nov,674325,768
Dec,577816,656
