Month,Amount lost,Number of reports
Jan,13935,152
Feb,18382,159
Mar,4559,202
Apr,10614,151
May,12270,133
Jun,22716,205
Jul,27953,216
Aug,6995,474
Sep,13497,263
Oct,16111,247
Nov,12372,162
Dec,5735,92
